codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_tipo,localizacao
36076,ACIDENTE,CÁCERES,MT,12/03/2009,10:30:00,1,NÃO,FALHA DO MOTOR EM VOO,CÁCERES - MT
36075,ACIDENTE,SÃO JOSÉ,SC,16/03/2009,18:30:00,1,NÃO,PERDA DE CONTROLE NO SOLO,SÃO JOSÉ - SC
36056,ACIDENTE,BALSA NOVA,PR,14/03/2009,17:30:00,1,NÃO,PERDA DE CONTROLE EM VOO,BALSA NOVA - PR
36055,ACIDENTE,NOVO HAMBURGO,RS,03/03/2009,18:30:00,1,NÃO,PERDA DE CONTROLE NO SOLO,NOVO HAMBURGO - RS
36036,INCIDENTE,RECIFE,PE,04/09/2007,23:30:00,1,NÃO,FALHA DO MOTOR EM VOO,RECIFE - PE
36035,ACIDENTE,RECIFE,PE,04/08/2007,18:51:00,1,SIM,PERDA DE CONTROLE EM VOO,RECIFE - PE
35975,INCIDENTE,SÃO PAULO,SP,20/07/2008,23:15:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO - SP
35955,INCIDENTE,CANTO DO BURITI,PI,09/08/2008,16:50:00,1,NÃO,COM TREM DE POUSO,CANTO DO BURITI - PI
35944,INCIDENTE,MACAÉ,RJ,04/06/2008,10:25:00,1,NÃO,VAZAMENTO DE OUTROS FLUIDOS,MACAÉ - RJ
35943,INCIDENTE GRAVE,PORTO ALEGRE,RS,26/09/2008,20:20:00,1,SIM,PERDA DE CONTROLE NO SOLO,PORTO ALEGRE - RS
35942,INCIDENTE,MACAÉ,RJ,29/04/2008,18:39:00,1,NÃO,INDETERMINADO,MACAÉ - RJ
35941,INCIDENTE,VERA CRUZ,BA,29/12/2008,20:30:00,1,NÃO,FALHA DO MOTOR EM VOO,VERA CRUZ - BA
35939,INCIDENTE,VITÓRIA,ES,01/12/2008,15:30:00,1,NÃO,F.O.D.,VITÓRIA - ES
35916,INCIDENTE,CAMPINAS,SP,04/03/2009,12:40:00,1,NÃO,FALHA DO MOTOR EM VOO,CAMPINAS - SP
35878,INCIDENTE,GUARULHOS,SP,28/01/2009,21:11:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GUARULHOS - SP
35877,INCIDENTE,GUARULHOS,SP,28/01/2009,12:20:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GUARULHOS - SP
35876,INCIDENTE,RIO DE JANEIRO,RJ,10/01/2009,13:23:00,1,NÃO,COLISÃO COM AVE,RIO DE JANEIRO - RJ
35863,INCIDENTE,RIO DE JANEIRO,RJ,11/01/2009,09:05:00,1,NÃO,COLISÃO COM AVE,RIO DE JANEIRO - RJ
35862,INCIDENTE,GUARULHOS,SP,11/01/2009,15:40:00,1,NÃO,COLISÃO COM AVE,GUARULHOS - SP
35860,INCIDENTE,GUARULHOS,SP,16/02/2009,14:00:00,1,NÃO,COLISÃO COM AVE,GUARULHOS - SP
35858,INCIDENTE,CONFINS,MG,30/01/2009,17:13:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CONFINS - MG
35857,INCIDENTE,GUARULHOS,SP,14/02/2009,17:20:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GUARULHOS - SP
35855,INCIDENTE,BRASÍLIA,DF,21/02/2009,21:30:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,BRASÍLIA - DF
35840,INCIDENTE,PARNAMIRIM,RN,21/02/2009,16:48:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PARNAMIRIM - RN
35839,INCIDENTE,RIO DE JANEIRO,RJ,24/02/2009,16:50:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RIO DE JANEIRO - RJ
35838,INCIDENTE,PORTO ALEGRE,RS,20/02/2009,09:04:00,1,NÃO,ESTOURO DE PNEU,PORTO ALEGRE - RS
35837,INCIDENTE,GOIÂNIA,GO,28/02/2009,09:40:00,1,NÃO,ESTOURO DE PNEU,GOIÂNIA - GO
35836,INCIDENTE,JOÃO PESSOA,PB,21/02/2009,17:00:00,1,NÃO,COM TREM DE POUSO,JOÃO PESSOA - PB
35835,INCIDENTE,NAVEGANTES,SC,02/01/2009,17:00:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,NAVEGANTES - SC
35800,INCIDENTE,JUNDIAÍ,SP,12/02/2009,18:15:00,1,NÃO,PERDA DE CONTROLE EM VOO,JUNDIAÍ - SP
35798,ACIDENTE,REDENÇÃO,PA,28/01/2009,20:20:00,1,NÃO,COLISÃO COM AVE,REDENÇÃO - PA
35796,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,26/01/2009,23:45:00,1,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,RIO DE JANEIRO - RJ
35795,INCIDENTE,GUARULHOS,SP,02/01/2009,13:30:00,1,NÃO,COLISÃO DE VEÍCULO COM AERONAVE,GUARULHOS - SP
35777,INCIDENTE,BRASÍLIA,DF,03/01/2009,20:00:00,1,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,BRASÍLIA - DF
35776,INCIDENTE,CASCAVEL,PR,29/01/2009,00:30:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CASCAVEL - PR
35775,INCIDENTE,IGARAPÉ-MIRI,PA,06/02/2009,11:50:00,1,NÃO,FALHA DO MOTOR EM VOO,IGARAPÉ-MIRI - PA
35757,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,07/02/2009,10:19:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO JOSÉ DOS PINHAIS - PR
35756,INCIDENTE,OSÓRIO,RS,07/02/2009,20:45:00,1,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO,OSÓRIO - RS
35755,INCIDENTE,RECIFE,PE,06/01/2009,20:40:00,1,NÃO,FALHA DO MOTOR EM VOO,RECIFE - PE
35735,INCIDENTE,RIBEIRÃO PRETO,SP,04/02/2009,10:00:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RIBEIRÃO PRETO - SP
35715,INCIDENTE,BELÉM,PA,08/01/2009,17:15:00,1,NÃO,COLISÃO COM AVE,BELÉM - PA
